Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class
09:10.8,8.245,TCP  ,EXT_SERVER,22,10006_27,22574,19,3185,1,.AP.SF,0,suspicious
12:04.8,19.103,TCP  ,EXT_SERVER,22,10767_152,64267,26,3745,1,.APRSF,0,suspicious
12:04.8,19.103,TCP  ,10767_152,64267,EXT_SERVER,22,24,2934,1,.AP.SF,0,suspicious
12:10.4,19.473,TCP  ,14105_56,54502,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
12:10.4,19.473,TCP  ,EXT_SERVER,22,14105_56,54502,26,3745,1,.APRSF,0,suspicious
12:24.5,20.362,TCP  ,EXT_SERVER,22,10767_152,26697,26,3745,1,.APRSF,0,suspicious
12:24.5,20.362,TCP  ,10767_152,26697,EXT_SERVER,22,24,2950,1,.AP.SF,0,suspicious
12:30.4,19.403,TCP  ,14105_56,59626,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
12:30.4,19.403,TCP  ,EXT_SERVER,22,14105_56,59626,26,3745,1,.APRSF,0,suspicious
12:47.2,7.534,TCP  ,18851_139,38138,EXT_SERVER,22,6,977,1,.APRSF,0,suspicious
12:47.2,7.534,TCP  ,EXT_SERVER,22,18851_139,38138,10,1659,1,.AP.SF,0,suspicious
12:45.3,20.423,TCP  ,EXT_SERVER,22,10767_152,55092,26,3745,1,.APRSF,0,suspicious
12:45.3,20.423,TCP  ,10767_152,55092,EXT_SERVER,22,24,2966,1,.AP.SF,0,suspicious
12:50.3,19.403,TCP  ,14105_56,1118,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
12:50.3,19.403,TCP  ,EXT_SERVER,22,14105_56,1118,26,3745,1,.APRSF,0,suspicious
09:58.7,12.19,TCP  ,18851_139,61573,EXT_SERVER,22,19,2635,1,.AP.SF,0,suspicious
09:58.7,12.19,TCP  ,EXT_SERVER,22,18851_139,61573,27,5541,1,.AP.SF,0,suspicious
13:14.4,0,TCP  ,19155_116,16946,EXT_SERVER,23,1,46,1,....S.,0,suspicious
13:14.4,0,TCP  ,EXT_SERVER,23,19155_116,16946,1,40,1,.A.R..,0,suspicious
13:17.9,0,TCP  ,19156_204,46450,EXT_SERVER,23,1,46,1,....S.,0,suspicious
13:17.9,0,TCP  ,EXT_SERVER,23,19156_204,46450,1,40,1,.A.R..,0,suspicious
13:25.0,0,TCP  ,19157_164,29000,EXT_SERVER,58390,1,46,1,.A..S.,0,suspicious
13:25.0,0,TCP  ,EXT_SERVER,58390,19157_164,29000,1,40,1,...R..,0,suspicious
13:06.2,18.79,TCP  ,EXT_SERVER,22,10767_152,19120,26,3745,1,.APRSF,0,suspicious
13:06.2,18.79,TCP  ,10767_152,19120,EXT_SERVER,22,24,2950,1,.AP.SF,0,suspicious
10:13.9,13.284,TCP  ,10006_27,60762,EXT_SERVER,22,20,2591,1,.AP.SF,0,suspicious
10:13.9,13.284,TCP  ,EXT_SERVER,22,10006_27,60762,24,3481,1,.AP.SF,0,suspicious
13:10.2,18.077,TCP  ,14105_56,6206,EXT_SERVER,22,26,3004,1,.AP.SF,0,suspicious
13:10.2,18.077,TCP  ,EXT_SERVER,22,14105_56,6206,26,3745,1,.APRSF,0,suspicious
10:40.1,0.083,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55767,7,702,1,.AP.SF,0,normal
10:40.1,0.083,TCP  ,OPENSTACK_NET,55767,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
10:40.1,0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55768,7,556,1,.AP.SF,0,normal
10:40.1,0.061,TCP  ,OPENSTACK_NET,55768,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
10:40.6,0.077,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62489,7,702,1,.AP.SF,0,normal
10:40.6,0.077,TCP  ,OPENSTACK_NET,62489,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
10:40.6,0.077,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62490,7,556,1,.AP.SF,0,normal
10:40.6,0.077,TCP  ,OPENSTACK_NET,62490,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
13:25.5,18.618,TCP  ,EXT_SERVER,22,10767_152,46128,26,3745,1,.APRSF,0,suspicious
13:25.5,18.618,TCP  ,10767_152,46128,EXT_SERVER,22,24,2950,1,.AP.SF,0,suspicious
13:28.8,18.548,TCP  ,14105_56,8810,EXT_SERVER,22,26,3020,1,.AP.SF,0,suspicious
13:28.8,18.548,TCP  ,EXT_SERVER,22,14105_56,8810,26,3745,1,.APRSF,0,suspicious
13:44.4,14.831,TCP  ,18851_139,33019,EXT_SERVER,22,17,3009,1,.APRSF,0,suspicious
13:44.4,14.831,TCP  ,EXT_SERVER,22,18851_139,33019,24,3673,1,.AP.SF,0,suspicious
13:44.6,17.701,TCP  ,EXT_SERVER,22,10767_152,7524,26,3745,1,.APRSF,0,suspicious
13:44.6,17.701,TCP  ,10767_152,7524,EXT_SERVER,22,24,2966,1,.AP.SF,0,suspicious
13:47.8,20.03,TCP  ,14105_56,11470,EXT_SERVER,22,26,3036,1,.AP.SF,0,suspicious
13:47.8,20.03,TCP  ,EXT_SERVER,22,14105_56,11470,26,3745,1,.APRSF,0,suspicious
14:02.9,19.24,TCP  ,EXT_SERVER,22,10767_152,33266,26,3745,1,.APRSF,0,suspicious
14:02.9,19.24,TCP  ,10767_152,33266,EXT_SERVER,22,24,2950,1,.AP.SF,0,suspicious
14:08.4,18.704,TCP  ,14105_56,19854,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
14:08.4,18.704,TCP  ,EXT_SERVER,22,14105_56,19854,26,3745,1,.APRSF,0,suspicious
14:35.7,0.349,TCP  ,19158_61,40018,EXT_SERVER,3366,2,92,1,...RS.,0,suspicious
14:35.7,0.349,TCP  ,EXT_SERVER,3366,19158_61,40018,1,40,1,.A.R..,0,suspicious
11:40.1,0.073,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55785,7,561,1,.AP.SF,0,normal
11:40.1,0.073,TCP  ,OPENSTACK_NET,55785,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
11:40.1,0.087,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55786,7,1724,1,.AP.SF,0,normal
11:40.1,0.087,TCP  ,OPENSTACK_NET,55786,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
11:40.6,0.052,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62507,7,561,1,.AP.SF,0,normal
11:40.6,0.052,TCP  ,OPENSTACK_NET,62507,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
14:22.6,20.226,TCP  ,EXT_SERVER,22,10767_152,59586,26,3745,1,.APRSF,0,suspicious
14:22.6,20.226,TCP  ,10767_152,59586,EXT_SERVER,22,26,3070,1,.AP.SF,0,suspicious
11:42.5,2.327,TCP  ,17626_160,36151,EXT_SERVER,22,14,1678,1,  0xdb,0,suspicious
11:42.5,2.327,TCP  ,EXT_SERVER,22,17626_160,36151,13,2585,1,.AP.SF,0,suspicious
14:27.6,18.298,TCP  ,14105_56,23002,EXT_SERVER,22,26,3004,1,.AP.SF,0,suspicious
14:27.6,18.298,TCP  ,EXT_SERVER,22,14105_56,23002,26,3745,1,.APRSF,0,suspicious
14:50.3,0.359,TCP  ,19159_63,22276,EXT_SERVER,22,2,92,1,...RS.,0,suspicious
14:50.3,0.359,TCP  ,EXT_SERVER,22,19159_63,22276,1,44,1,.A..S.,0,suspicious
14:43.3,19.997,TCP  ,EXT_SERVER,22,10767_152,23477,26,3745,1,.APRSF,0,suspicious
14:43.3,19.997,TCP  ,10767_152,23477,EXT_SERVER,22,24,2950,1,.AP.SF,0,suspicious
14:46.4,20.007,TCP  ,14105_56,26556,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
14:46.4,20.007,TCP  ,EXT_SERVER,22,14105_56,26556,26,3745,1,.APRSF,0,suspicious
15:03.8,18.908,TCP  ,EXT_SERVER,22,10767_152,51665,26,3745,1,.APRSF,0,suspicious
15:03.8,18.908,TCP  ,10767_152,51665,EXT_SERVER,22,26,3054,1,.AP.SF,0,suspicious
15:06.9,18.564,TCP  ,14105_56,33782,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
15:06.9,18.564,TCP  ,EXT_SERVER,22,14105_56,33782,26,3745,1,.APRSF,0,suspicious
15:27.3,0,TCP  ,19160_2,64541,EXT_SERVER,5900,1,46,1,....S.,0,suspicious
15:27.3,0,TCP  ,EXT_SERVER,5900,19160_2,64541,1,40,1,.A.R..,0,suspicious
12:23.3,10.653,TCP  ,10006_27,22544,EXT_SERVER,22,16,2227,1,.AP.SF,0,suspicious
12:23.3,10.653,TCP  ,EXT_SERVER,22,10006_27,22544,20,3278,1,.AP.SF,0,suspicious
15:23.2,18.864,TCP  ,EXT_SERVER,22,10767_152,14775,26,3745,1,.APRSF,0,suspicious
15:23.2,18.864,TCP  ,10767_152,14775,EXT_SERVER,22,26,3086,1,.AP.SF,0,suspicious
15:25.9,19.191,TCP  ,14105_56,37112,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
15:25.9,19.191,TCP  ,EXT_SERVER,22,14105_56,37112,26,3745,1,.APRSF,0,suspicious
15:42.6,18.071,TCP  ,EXT_SERVER,22,10767_152,41619,26,3745,1,.APRSF,0,suspicious
15:42.6,18.071,TCP  ,10767_152,41619,EXT_SERVER,22,26,3086,1,.AP.SF,0,suspicious
15:45.6,17.417,TCP  ,14105_56,44664,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
15:45.6,17.417,TCP  ,EXT_SERVER,22,14105_56,44664,26,3745,1,.APRSF,0,suspicious
16:01.2,18.99,TCP  ,EXT_SERVER,22,10767_152,3533,26,3745,1,.APRSF,0,suspicious
16:01.2,18.99,TCP  ,10767_152,3533,EXT_SERVER,22,24,2950,1,.AP.SF,0,suspicious
16:03.6,16.55,TCP  ,14105_56,44408,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
16:03.6,16.55,TCP  ,EXT_SERVER,22,14105_56,44408,26,3745,1,.APRSF,0,suspicious
13:24.7,10.067,TCP  ,10006_27,36554,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
13:24.7,10.067,TCP  ,EXT_SERVER,22,10006_27,36554,19,3185,1,.AP.SF,0,suspicious
16:20.6,19.379,TCP  ,14105_56,43438,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
16:20.6,19.379,TCP  ,EXT_SERVER,22,14105_56,43438,26,3745,1,.APRSF,0,suspicious
16:20.6,18.413,TCP  ,EXT_SERVER,22,10767_152,31516,26,3745,1,.APRSF,0,suspicious
16:20.6,18.413,TCP  ,10767_152,31516,EXT_SERVER,22,26,3022,1,.AP.SF,0,suspicious
13:40.1,0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55817,7,556,1,.AP.SF,0,normal
13:40.1,0.061,TCP  ,OPENSTACK_NET,55817,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
13:40.1,0.087,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55818,7,702,1,.AP.SF,0,normal
13:40.1,0.087,TCP  ,OPENSTACK_NET,55818,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
13:40.6,0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62540,7,702,1,.AP.SF,0,normal
13:40.6,0.061,TCP  ,OPENSTACK_NET,62540,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
13:40.6,0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62541,7,556,1,.AP.SF,0,normal
13:40.6,0.06,TCP  ,OPENSTACK_NET,62541,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
16:40.4,0,TCP  ,EXT_SERVER,5900,19161_61,30581,1,40,1,.A.R..,0,suspicious
16:40.4,0,TCP  ,19161_61,30581,EXT_SERVER,5900,1,48,1,....S.,0,suspicious
13:41.4,0.049,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55821,7,639,1,.AP.SF,0,normal
13:41.4,0.049,TCP  ,OPENSTACK_NET,55821,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
13:42.0,0.054,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,62542,7,639,1,.AP.SF,0,normal
13:42.0,0.054,TCP  ,OPENSTACK_NET,62542,EXT_SERVER,8000,6,614,1,.AP.SF,0,normal
16:39.6,19.023,TCP  ,EXT_SERVER,22,10767_152,57337,26,3745,1,.APRSF,0,suspicious
16:39.6,19.023,TCP  ,10767_152,57337,EXT_SERVER,22,24,2998,1,.AP.SF,0,suspicious
16:40.5,19.608,TCP  ,14105_56,49954,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
16:40.5,19.608,TCP  ,EXT_SERVER,22,14105_56,49954,26,3745,1,.APRSF,0,suspicious
16:53.8,6.809,TCP  ,18851_139,22672,EXT_SERVER,22,8,1075,1,.APRSF,0,suspicious
16:53.8,6.809,TCP  ,EXT_SERVER,22,18851_139,22672,7,1421,1,.AP.SF,0,suspicious
17:16.7,0,TCP  ,19162_114,48550,EXT_SERVER,7547,1,46,1,....S.,0,suspicious
17:16.7,0,TCP  ,EXT_SERVER,7547,19162_114,48550,1,40,1,.A.R..,0,suspicious
17:00.6,18.207,TCP  ,14105_56,55694,EXT_SERVER,22,26,3020,1,.AP.SF,0,suspicious
17:00.6,18.207,TCP  ,EXT_SERVER,22,14105_56,55694,26,3745,1,.APRSF,0,suspicious
16:59.1,19.984,TCP  ,EXT_SERVER,22,10767_152,19581,26,3745,1,.APRSF,0,suspicious
16:59.1,19.984,TCP  ,10767_152,19581,EXT_SERVER,22,24,2934,1,.AP.SF,0,suspicious
14:14.2,15.805,TCP  ,18851_139,48741,EXT_SERVER,22,17,3099,1,.AP.SF,0,suspicious
14:14.2,15.805,TCP  ,EXT_SERVER,22,18851_139,48741,28,5721,1,.AP.SF,0,suspicious
14:27.2,8.848,TCP  ,10006_27,64812,EXT_SERVER,22,15,2179,1,.AP.SF,0,suspicious
14:27.2,8.848,TCP  ,EXT_SERVER,22,10006_27,64812,20,4085,1,.AP.SF,0,suspicious
17:19.3,20.685,TCP  ,14105_56,57868,EXT_SERVER,22,25,3224,1,.AP.SF,0,suspicious
17:19.3,20.685,TCP  ,EXT_SERVER,22,14105_56,57868,29,5737,1,.APRSF,0,suspicious
17:19.6,23.345,TCP  ,EXT_SERVER,22,10767_152,48075,30,3985,1,.APRSF,0,suspicious
17:19.6,23.345,TCP  ,10767_152,48075,EXT_SERVER,22,28,3142,1,.AP.SF,0,suspicious
17:35.4,10.496,TCP  ,10006_27,38912,EXT_SERVER,22,17,2429,1,.APRSF,0,suspicious
17:35.4,10.496,TCP  ,EXT_SERVER,22,10006_27,38912,23,3497,1,.AP.SF,0,suspicious
17:40.5,19.008,TCP  ,14105_56,6666,EXT_SERVER,22,24,2900,1,.AP.SF,0,suspicious
17:40.5,19.008,TCP  ,EXT_SERVER,22,14105_56,6666,26,3745,1,.APRSF,0,suspicious
17:43.4,20.248,TCP  ,EXT_SERVER,22,10767_152,17146,26,3745,1,.APRSF,0,suspicious
17:43.4,20.248,TCP  ,10767_152,17146,EXT_SERVER,22,24,2978,1,.AP.SF,0,suspicious
17:51.1,13.465,TCP  ,18851_139,51557,EXT_SERVER,22,13,2408,1,.APRS.,0,suspicious
17:51.1,13.465,TCP  ,EXT_SERVER,22,18851_139,51557,21,6102,1,.AP.S.,0,suspicious
14:50.9,15.579,TCP  ,19159_63,60694,EXT_SERVER,22,17,1818,1,.AP.SF,0,suspicious
14:50.9,15.579,TCP  ,EXT_SERVER,22,19159_63,60694,23,3273,1,.AP.SF,0,suspicious
14:58.8,12.793,TCP  ,18851_139,23467,EXT_SERVER,22,16,2227,1,.AP.SF,0,suspicious
14:58.8,12.793,TCP  ,EXT_SERVER,22,18851_139,23467,22,3518,1,.AP.SF,0,suspicious
18:00.0,20.569,TCP  ,14105_56,11228,EXT_SERVER,22,25,3052,1,.AP.SF,0,suspicious
18:00.0,20.569,TCP  ,EXT_SERVER,22,14105_56,11228,28,3929,1,.APRSF,0,suspicious
18:04.2,21.062,TCP  ,EXT_SERVER,22,10767_152,46106,26,3745,1,.APRSF,0,suspicious
18:04.2,21.062,TCP  ,10767_152,46106,EXT_SERVER,22,26,3102,1,.AP.SF,0,suspicious
15:29.5,10.306,TCP  ,10006_27,37633,EXT_SERVER,22,19,2539,1,.AP.SF,0,suspicious
15:29.5,10.306,TCP  ,EXT_SERVER,22,10006_27,37633,23,3537,1,.AP.SF,0,suspicious
18:21.1,19.242,TCP  ,14105_56,19170,EXT_SERVER,22,24,2932,1,.AP.SF,0,suspicious
18:21.1,19.242,TCP  ,EXT_SERVER,22,14105_56,19170,26,3745,1,.APRSF,0,suspicious
18:25.7,20.318,TCP  ,EXT_SERVER,22,10767_152,10511,26,3745,1,.APRSF,0,suspicious
18:25.7,20.318,TCP  ,10767_152,10511,EXT_SERVER,22,24,3014,1,.AP.SF,0,suspicious
18:47.5,0,TCP  ,10418_200,58022,EXT_SERVER,8008,1,46,1,....S.,0,suspicious
18:47.5,0,TCP  ,EXT_SERVER,8008,10418_200,58022,1,40,1,.A.R..,0,suspicious
18:40.8,19.757,TCP  ,14105_56,22850,EXT_SERVER,22,24,2916,1,.AP.SF,0,suspicious
18:40.8,19.757,TCP  ,EXT_SERVER,22,14105_56,22850,26,3745,1,.APRSF,0,suspicious
19:04.4,0,TCP  ,19163_199,8425,EXT_SERVER,23,1,46,1,....S.,0,suspicious
19:04.4,0,TCP  ,EXT_SERVER,23,19163_199,8425,1,40,1,.A.R..,0,suspicious
15:56.0,12.532,TCP  ,18851_139,46142,EXT_SERVER,22,15,2255,1,.AP.SF,0,suspicious
15:56.0,12.532,TCP  ,EXT_SERVER,22,18851_139,46142,23,5373,1,.AP.SF,0,suspicious
18:46.5,23.176,TCP  ,EXT_SERVER,22,10767_152,37864,29,4105,1,.APRSF,0,suspicious
18:46.5,23.176,TCP  ,10767_152,37864,EXT_SERVER,22,24,2966,1,.AP.SF,0,suspicious
19:16.8,0,TCP  ,19164_89,64131,EXT_SERVER,2323,1,46,1,....S.,0,suspicious
19:16.8,0,TCP  ,EXT_SERVER,2323,19164_89,64131,1,40,1,.A.R..,0,suspicious
19:17.6,0,TCP  ,EXT_SERVER,23,19165_59,40906,1,40,1,.A.R..,0,suspicious
19:17.6,0,TCP  ,19165_59,40906,EXT_SERVER,23,1,46,1,....S.,0,suspicious
19:01.1,20.792,TCP  ,14105_56,27778,EXT_SERVER,22,26,3020,1,.AP.SF,0,suspicious
19:01.1,20.792,TCP  ,EXT_SERVER,22,14105_56,27778,26,3745,1,.APRSF,0,suspicious
19:10.2,20.029,TCP  ,EXT_SERVER,22,10767_152,4623,26,3745,1,.APRSF,0,suspicious
19:10.2,20.029,TCP  ,10767_152,4623,EXT_SERVER,22,24,2998,1,.AP.SF,0,suspicious
16:31.2,9.423,TCP  ,10006_27,10376,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
16:31.2,9.423,TCP  ,EXT_SERVER,22,10006_27,10376,19,3185,1,.AP.SF,0,suspicious
16:40.1,0.095,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55868,7,561,1,.AP.SF,0,normal
16:40.1,0.095,TCP  ,OPENSTACK_NET,55868,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
16:40.1,0.104,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55869,7,1724,1,.AP.SF,0,normal
16:40.1,0.104,TCP  ,OPENSTACK_NET,55869,EXT_SERVER,8000,6,579,1,.AP.SF,0,normal
16:40.1,0.088,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55870,7,702,1,.AP.SF,0,normal
16:40.1,0.088,TCP  ,OPENSTACK_NET,55870,EXT_SERVER,8000,6,586,1,.AP.SF,0,normal
16:40.1,0.098,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,55871,7,556,1,.AP.SF,0,normal
16:40.1,0.098,TCP  ,OPENSTACK_NET,55871,EXT_SERVER,8000,6,515,1,.AP.SF,0,normal
